relation,display_relation,x_index,y_index
drug_protein,carrier,14012,7183
drug_protein,carrier,14012,8256
drug_protein,carrier,14013,4107
drug_protein,carrier,14014,1424
drug_protein,carrier,14015,1424
drug_protein,carrier,14016,1424
drug_protein,carrier,14017,1424
drug_protein,carrier,14018,1424
drug_protein,carrier,14019,1424
drug_protein,carrier,14020,1424
drug_protein,carrier,14021,1424
drug_protein,carrier,14022,1424
drug_protein,carrier,14023,1424
drug_protein,carrier,14024,1424
drug_protein,carrier,14025,1424
drug_protein,carrier,14026,1424
drug_protein,carrier,14027,1424
drug_protein,carrier,14028,1424
drug_protein,carrier,14029,1424
drug_protein,carrier,14030,1424
drug_protein,carrier,14031,1424
drug_protein,carrier,14032,1424
drug_protein,carrier,14033,1424
drug_protein,carrier,14034,1424
drug_protein,carrier,14035,1424
drug_protein,carrier,14036,1424
drug_protein,carrier,14037,1424
drug_protein,carrier,14038,1424
drug_protein,carrier,14039,1424
drug_protein,carrier,14040,1424
drug_protein,carrier,14041,1424
drug_protein,carrier,14042,1424
drug_protein,carrier,14043,1424
drug_protein,carrier,14044,1424
drug_protein,carrier,14045,1424
drug_protein,carrier,14046,1424
drug_protein,carrier,14047,1424
drug_protein,carrier,14048,1424
drug_protein,carrier,14049,1424
drug_protein,carrier,14050,1424
drug_protein,carrier,14051,12469
drug_protein,carrier,14052,4025
drug_protein,carrier,14053,4025
drug_protein,carrier,14054,1125
drug_protein,carrier,14052,1155
drug_protein,carrier,14053,1155
drug_protein,carrier,14052,8094
drug_protein,carrier,14055,8094
drug_protein,carrier,14056,8094
drug_protein,carrier,14053,8094
drug_protein,carrier,14057,8094
drug_protein,carrier,14058,111
drug_protein,carrier,14059,111
drug_protein,carrier,14060,111
drug_protein,carrier,14061,111
drug_protein,carrier,14062,111
drug_protein,carrier,14063,111
drug_protein,carrier,14064,111
drug_protein,carrier,14065,111
drug_protein,carrier,14066,111
drug_protein,carrier,14067,111
drug_protein,carrier,14068,111
drug_protein,carrier,14069,111
drug_protein,carrier,14070,111
drug_protein,carrier,14071,111
drug_protein,carrier,14072,111
drug_protein,carrier,14073,111
drug_protein,carrier,14074,111
drug_protein,carrier,14075,111
drug_protein,carrier,14076,111
drug_protein,carrier,14077,111
drug_protein,carrier,14078,111
drug_protein,carrier,14079,111
drug_protein,carrier,14080,111
drug_protein,carrier,14081,111
drug_protein,carrier,14082,111
drug_protein,carrier,14083,111
drug_protein,carrier,14084,111
drug_protein,carrier,14085,111
drug_protein,carrier,14086,111
drug_protein,carrier,14087,111
drug_protein,carrier,14088,111
drug_protein,carrier,14089,111
drug_protein,carrier,14090,111
drug_protein,carrier,14091,111
drug_protein,carrier,14092,111
drug_protein,carrier,14093,111
drug_protein,carrier,14094,111
drug_protein,carrier,14095,111
drug_protein,carrier,14096,111
drug_protein,carrier,14097,111
drug_protein,carrier,14098,111
drug_protein,carrier,14099,111
drug_protein,carrier,14100,111
drug_protein,carrier,14101,111
drug_protein,carrier,14102,111
drug_protein,carrier,14103,111
drug_protein,carrier,14104,111
drug_protein,carrier,14105,111
drug_protein,carrier,14054,13991
drug_protein,carrier,14106,6002
drug_protein,carrier,14107,748
drug_protein,carrier,14108,5638
drug_protein,carrier,14109,5638
drug_protein,carrier,14110,5638
drug_protein,carrier,14052,58349
drug_protein,carrier,14053,58349
drug_protein,carrier,14111,12283
drug_protein,carrier,14112,12283
drug_protein,carrier,14113,12283
drug_protein,carrier,14114,4003
drug_protein,carrier,14115,4003
drug_protein,carrier,14116,4003
drug_protein,carrier,14117,4003
drug_protein,carrier,14118,4003
drug_protein,carrier,14119,4003
drug_protein,carrier,14120,4003
drug_protein,carrier,14121,4003
drug_protein,carrier,14122,4003
drug_protein,carrier,14123,4003
drug_protein,carrier,14124,4003
