relation,display_relation,x_index,y_index
indication,indication,16687,33577
indication,indication,16687,36035
indication,indication,20297,33577
indication,indication,20297,36035
indication,indication,16693,33577
indication,indication,16693,36035
indication,indication,14944,33577
indication,indication,14944,36035
indication,indication,15762,33577
indication,indication,15762,36035
indication,indication,14836,33577
indication,indication,14836,36035
indication,indication,14421,33577
indication,indication,14421,36035
indication,indication,14835,33577
indication,indication,14835,36035
indication,indication,16214,33577
indication,indication,16214,36035
indication,indication,14327,33577
indication,indication,14327,36035
indication,indication,14255,33577
indication,indication,14255,36035
indication,indication,16694,33577
indication,indication,16694,36035
indication,indication,20301,33577
indication,indication,20301,36035
indication,indication,14846,33577
indication,indication,14846,36035
indication,indication,16699,33577
indication,indication,16699,36035
indication,indication,14152,33577
indication,indication,14152,36035
indication,indication,16690,33577
indication,indication,16690,36035
indication,indication,16698,33577
indication,indication,16698,36035
indication,indication,14200,33577
indication,indication,14200,36035
indication,indication,15426,33577
indication,indication,15426,36035
indication,indication,15108,33577
indication,indication,15108,36035
indication,indication,17278,33577
indication,indication,17278,36035
indication,indication,14762,33577
indication,indication,14762,36035
indication,indication,14308,33577
indication,indication,14308,36035
indication,indication,14984,33577
indication,indication,14984,36035
indication,indication,15451,33577
indication,indication,15451,36035
indication,indication,15175,33577
indication,indication,15175,36035
indication,indication,14946,33577
indication,indication,14946,36035
indication,indication,15079,33577
indication,indication,15079,36035
indication,indication,16303,33577
indication,indication,16303,36035
indication,indication,14317,33577
indication,indication,14317,36035
indication,indication,15580,33577
indication,indication,15580,36035
indication,indication,17647,33577
indication,indication,17647,36035
indication,indication,16793,33577
indication,indication,16793,36035
indication,indication,14276,33577
indication,indication,14276,36035
indication,indication,15245,33577
indication,indication,15245,36035
indication,indication,15186,33577
indication,indication,15186,36035
indication,indication,14133,33577
indication,indication,14133,36035
indication,indication,14959,33577
indication,indication,14959,36035
indication,indication,17344,33577
indication,indication,17344,36035
indication,indication,19223,33577
indication,indication,19223,36035
indication,indication,14809,33577
indication,indication,14809,36035
indication,indication,17308,33577
indication,indication,17308,36035
indication,indication,16854,33577
indication,indication,16854,36035
indication,indication,14217,33577
indication,indication,14217,36035
indication,indication,14196,33577
indication,indication,14196,36035
indication,indication,14212,33577
indication,indication,14212,36035
indication,indication,14168,33577
indication,indication,14168,36035
indication,indication,15105,33577
indication,indication,15105,36035
indication,indication,14142,33577
indication,indication,14142,36035
indication,indication,15304,33577
indication,indication,15304,36035
indication,indication,14938,33577
indication,indication,14938,36035
indication,indication,14271,33577
indication,indication,14271,36035
indication,indication,14163,33577
indication,indication,14163,36035
indication,indication,14582,33577
indication,indication,14582,36035
indication,indication,14198,33577
indication,indication,14198,36035
indication,indication,17304,33577
indication,indication,17304,36035
indication,indication,15789,33577
indication,indication,15789,36035
indication,indication,20307,33577
indication,indication,20307,36035
indication,indication,15295,33577
indication,indication,15295,36035
indication,indication,14547,33577
indication,indication,14547,36035
indication,indication,15855,33577
indication,indication,15855,36035
indication,indication,15153,33577
indication,indication,15153,36035
indication,indication,14202,33577
indication,indication,14202,36035
indication,indication,20310,33577
indication,indication,20310,36035
indication,indication,14331,33577
indication,indication,14331,36035
indication,indication,14792,33577
indication,indication,14792,36035
indication,indication,14162,33577
indication,indication,14162,36035
indication,indication,15480,33577
indication,indication,15480,36035
indication,indication,15095,33577
indication,indication,15095,36035
indication,indication,14240,33577
indication,indication,14240,36035
indication,indication,14691,33577
indication,indication,14691,36035
indication,indication,16215,33577
indication,indication,16215,36035
indication,indication,14301,33577
indication,indication,14301,36035
indication,indication,14539,33577
indication,indication,14539,36035
indication,indication,20316,33577
indication,indication,20316,36035
indication,indication,17148,33577
indication,indication,17148,36035
indication,indication,15609,33577
indication,indication,15609,36035
indication,indication,14869,33577
indication,indication,14869,36035
indication,indication,15505,33577
indication,indication,15505,36035
indication,indication,15221,33577
indication,indication,15221,36035
indication,indication,14605,33577
indication,indication,14605,36035
indication,indication,15836,33577
indication,indication,15836,36035
indication,indication,20319,33577
indication,indication,20319,36035
indication,indication,14282,33577
indication,indication,14282,36035
indication,indication,15769,33577
indication,indication,15769,36035
indication,indication,15133,33577
indication,indication,15133,36035
indication,indication,14233,33577
indication,indication,14233,36035
indication,indication,16788,33577
indication,indication,16788,36035
indication,indication,16210,33577
indication,indication,16210,36035
indication,indication,14763,33577
indication,indication,14763,36035
indication,indication,15629,33577
indication,indication,15629,36035
indication,indication,14369,33577
indication,indication,14369,36035
indication,indication,14731,33577
indication,indication,14731,36035
indication,indication,14215,33577
indication,indication,14215,36035
indication,indication,16697,33577
indication,indication,16697,36035
indication,indication,15632,33577
indication,indication,15632,36035
indication,indication,20325,33577
indication,indication,20325,36035
indication,indication,14965,33577
indication,indication,14965,36035
indication,indication,16689,33577
indication,indication,16689,36035
indication,indication,14953,33577
indication,indication,14953,36035
indication,indication,15193,38121
indication,indication,15291,38121
indication,indication,14709,38121
indication,indication,17559,38121
indication,indication,16842,38121
indication,indication,15193,28547
indication,indication,15193,30093
indication,indication,15193,31408
indication,indication,15193,28974
indication,indication,15193,28801
indication,indication,15193,32759
indication,indication,15193,32974
indication,indication,15193,33241
indication,indication,15812,28547
indication,indication,15812,30093
indication,indication,15812,31408
indication,indication,15812,28974
indication,indication,15812,28801
indication,indication,15812,32759
indication,indication,15812,32974
indication,indication,15812,33241
indication,indication,15291,28547
indication,indication,15291,30093
indication,indication,15291,31408
indication,indication,15291,28974
indication,indication,15291,28801
indication,indication,15291,32759
indication,indication,15291,32974
indication,indication,15291,33241
indication,indication,14139,28547
indication,indication,14139,30093
indication,indication,14139,31408
indication,indication,14139,28974
indication,indication,14139,28801
indication,indication,14139,32759
indication,indication,14139,32974
indication,indication,14139,33241
indication,indication,16315,28547
indication,indication,16315,30093
indication,indication,16315,31408
indication,indication,16315,28974
indication,indication,16315,28801
indication,indication,16315,32759
indication,indication,16315,32974
indication,indication,16315,33241
indication,indication,16056,28547
indication,indication,16056,30093
indication,indication,16056,31408
indication,indication,16056,28974
indication,indication,16056,28801
indication,indication,16056,32759
indication,indication,16056,32974
indication,indication,16056,33241
indication,indication,14830,28547
indication,indication,14830,30093
indication,indication,14830,31408
indication,indication,14830,28974
indication,indication,14830,28801
indication,indication,14830,32759
indication,indication,14830,32974
indication,indication,14830,33241
indication,indication,17270,28547
indication,indication,17270,30093
indication,indication,17270,31408
indication,indication,17270,28974
indication,indication,17270,28801
indication,indication,17270,32759
indication,indication,17270,32974
indication,indication,17270,33241
indication,indication,14321,28547
indication,indication,14321,30093
indication,indication,14321,31408
indication,indication,14321,28974
indication,indication,14321,28801
indication,indication,14321,32759
indication,indication,14321,32974
indication,indication,14321,33241
indication,indication,14220,28547
indication,indication,14220,30093
indication,indication,14220,31408
indication,indication,14220,28974
indication,indication,14220,28801
indication,indication,14220,32759
indication,indication,14220,32974
indication,indication,14220,33241
indication,indication,15124,28547
indication,indication,15124,30093
indication,indication,15124,31408
indication,indication,15124,28974
indication,indication,15124,28801
indication,indication,15124,32759
indication,indication,15124,32974
indication,indication,15124,33241
indication,indication,19207,28547
indication,indication,19207,30093
indication,indication,19207,31408
indication,indication,19207,28974
indication,indication,19207,28801
indication,indication,19207,32759
indication,indication,19207,32974
indication,indication,19207,33241
indication,indication,15493,28547
indication,indication,15493,30093
indication,indication,15493,31408
indication,indication,15493,28974
indication,indication,15493,28801
indication,indication,15493,32759
indication,indication,15493,32974
indication,indication,15493,33241
indication,indication,14831,28547
indication,indication,14831,30093
indication,indication,14831,31408
indication,indication,14831,28974
indication,indication,14831,28801
indication,indication,14831,32759
indication,indication,14831,32974
indication,indication,14831,33241
indication,indication,14452,28547
indication,indication,14452,30093
indication,indication,14452,31408
indication,indication,14452,28974
indication,indication,14452,28801
indication,indication,14452,32759
indication,indication,14452,32974
indication,indication,14452,33241
indication,indication,15138,28547
indication,indication,15138,30093
indication,indication,15138,31408
indication,indication,15138,28974
indication,indication,15138,28801
indication,indication,15138,32759
indication,indication,15138,32974
indication,indication,15138,33241
indication,indication,16054,28547
indication,indication,16054,30093
indication,indication,16054,31408
indication,indication,16054,28974
indication,indication,16054,28801
indication,indication,16054,32759
indication,indication,16054,32974
indication,indication,16054,33241
indication,indication,15333,28547
indication,indication,15333,30093
indication,indication,15333,31408
indication,indication,15333,28974
indication,indication,15333,28801
indication,indication,15333,32759
indication,indication,15333,32974
indication,indication,15333,33241
indication,indication,15772,28547
indication,indication,15772,30093
indication,indication,15772,31408
indication,indication,15772,28974
indication,indication,15772,28801
indication,indication,15772,32759
indication,indication,15772,32974
indication,indication,15772,33241
indication,indication,14904,28547
indication,indication,14904,30093
indication,indication,14904,31408
indication,indication,14904,28974
indication,indication,14904,28801
indication,indication,14904,32759
indication,indication,14904,32974
indication,indication,14904,33241
indication,indication,14806,28547
indication,indication,14806,30093
indication,indication,14806,31408
indication,indication,14806,28974
indication,indication,14806,28801
indication,indication,14806,32759
indication,indication,14806,32974
indication,indication,14806,33241
indication,indication,16842,28547
indication,indication,16842,30093
indication,indication,16842,31408
indication,indication,16842,28974
indication,indication,16842,28801
indication,indication,16842,32759
indication,indication,16842,32974
indication,indication,16842,33241
indication,indication,15081,28396
indication,indication,15081,31524
indication,indication,15081,28149
indication,indication,14831,28396
indication,indication,14831,31524
indication,indication,14831,28149
indication,indication,14153,35641
indication,indication,14330,35641
indication,indication,20354,35641
indication,indication,14192,35641
indication,indication,15837,35641
indication,indication,15834,35641
indication,indication,15430,35641
indication,indication,15297,35641
indication,indication,16475,35641
indication,indication,17066,35641
indication,indication,14141,35641
indication,indication,20341,35641
indication,indication,14505,35641
indication,indication,17065,35641
indication,indication,14993,35641
indication,indication,14245,35641
indication,indication,14522,35641
indication,indication,14956,35641
indication,indication,15475,35641
indication,indication,15434,35641
indication,indication,15311,35641
indication,indication,15453,35641
indication,indication,15835,35641
indication,indication,14139,38003
indication,indication,14139,83752
indication,indication,14139,30324
indication,indication,16056,38003
indication,indication,16056,83752
indication,indication,16056,30324
indication,indication,14830,38003
indication,indication,14830,83752
indication,indication,14830,30324
indication,indication,15124,38003
indication,indication,15124,83752
indication,indication,15124,30324
indication,indication,16054,38003
indication,indication,16054,83752
indication,indication,16054,30324
indication,indication,15421,32033
indication,indication,15099,32033
indication,indication,20363,32033
indication,indication,20364,32033
indication,indication,17067,32033
indication,indication,15841,32033
indication,indication,15506,32033
indication,indication,15430,32033
indication,indication,15297,32033
indication,indication,14653,32033
indication,indication,20138,32033
indication,indication,14607,32033
indication,indication,15513,32033
indication,indication,17066,32033
indication,indication,15570,32033
indication,indication,17065,32033
indication,indication,14609,32033
indication,indication,20139,32033
indication,indication,15518,32033
indication,indication,20343,32033
indication,indication,15517,32033
indication,indication,14976,32033
indication,indication,15457,32033
indication,indication,14310,32033
indication,indication,15519,32033
indication,indication,15441,32033
indication,indication,15052,32033
indication,indication,17244,32033
indication,indication,16794,32033
indication,indication,17782,32033
indication,indication,14137,32033
indication,indication,17063,32033
indication,indication,20128,32033
indication,indication,15611,32033
indication,indication,20365,83753
indication,indication,15763,83753
indication,indication,14250,83753
indication,indication,20366,83753
indication,indication,14262,83753
indication,indication,17411,83753
indication,indication,14281,83753
indication,indication,15422,83753
indication,indication,15219,83753
indication,indication,14028,83753
indication,indication,15003,83753
indication,indication,14019,83753
indication,indication,17628,83753
indication,indication,14819,83753
indication,indication,20367,83753
indication,indication,15084,83753
indication,indication,14300,83753
indication,indication,15604,83753
indication,indication,20193,83753
indication,indication,20322,83753
indication,indication,20368,83753
indication,indication,15296,83753
indication,indication,20369,83753
indication,indication,17412,83753
indication,indication,20370,37617
indication,indication,20370,30374
indication,indication,15797,37617
indication,indication,15797,30374
indication,indication,14458,37617
indication,indication,14458,30374
indication,indication,15160,37617
indication,indication,15160,30374
indication,indication,14159,37617
indication,indication,14159,30374
indication,indication,15614,37617
indication,indication,15614,30374
indication,indication,17631,37617
indication,indication,17631,30374
indication,indication,20371,37830
indication,indication,15160,37830
indication,indication,15614,37830
indication,indication,15956,37830
indication,indication,15166,37830
indication,indication,20372,37564
indication,indication,16060,37564
indication,indication,16340,37564
indication,indication,14843,37564
indication,indication,15316,37564
indication,indication,14785,37564
indication,indication,14702,37564
indication,indication,15815,37564
