node_index,node_id,node_type,node_name,node_source
2,8233,gene/protein,ZRSR2,NCBI
3,4899,gene/protein,NRF1,NCBI
4,5297,gene/protein,PI4KA,NCBI
5,6564,gene/protein,SLC15A1,NCBI
6,8668,gene/protein,EIF3I,NCBI
7,10826,gene/protein,FAXDC2,NCBI
8,4489,gene/protein,MT1A,NCBI
9,6272,gene/protein,SORT1,NCBI
10,4041,gene/protein,LRP5,NCBI
11,6202,gene/protein,RPS8,NCBI
12,924,gene/protein,CD7,NCBI
13,65005,gene/protein,MRPL9,NCBI
15,1958,gene/protein,EGR1,NCBI
16,6633,gene/protein,SNRPD2,NCBI
18,6872,gene/protein,TAF1,NCBI
19,10451,gene/protein,VAV3,NCBI
22,2353,gene/protein,FOS,NCBI
23,5611,gene/protein,DNAJC3,NCBI
25,4609,gene/protein,MYC,NCBI
26,9064,gene/protein,MAP3K6,NCBI
27,54474,gene/protein,KRT20,NCBI
29,2147,gene/protein,F2,NCBI
30,1759,gene/protein,DNM1,NCBI
33,2932,gene/protein,GSK3B,NCBI
34,55739,gene/protein,NAXD,NCBI
36,5817,gene/protein,PVR,NCBI
38,891,gene/protein,CCNB1,NCBI
39,22809,gene/protein,ATF5,NCBI
40,1017,gene/protein,CDK2,NCBI
41,4728,gene/protein,NDUFS8,NCBI
42,5307,gene/protein,PITX1,NCBI
43,5295,gene/protein,PIK3R1,NCBI
45,3238,gene/protein,HOXD12,NCBI
46,28969,gene/protein,BZW2,NCBI
50,2114,gene/protein,ETS2,NCBI
51,6667,gene/protein,SP1,NCBI
53,3433,gene/protein,IFIT2,NCBI
54,6790,gene/protein,AURKA,NCBI
57,30012,gene/protein,TLX3,NCBI
59,6125,gene/protein,RPL5,NCBI
60,8773,gene/protein,SNAP23,NCBI
61,801,gene/protein,CALM1,NCBI
62,3628,gene/protein,INPP1,NCBI
65,10291,gene/protein,SF3A1,NCBI
66,7536,gene/protein,SF1,NCBI
67,4233,gene/protein,MET,NCBI
68,1869,gene/protein,E2F1,NCBI
71,10664,gene/protein,CTCF,NCBI
74,151,gene/protein,ADRA2B,NCBI
78,7428,gene/protein,VHL,NCBI
80,675,gene/protein,BRCA2,NCBI
81,166,gene/protein,TLE5,NCBI
86,6502,gene/protein,SKP2,NCBI
87,3181,gene/protein,HNRNPA2B1,NCBI
90,682,gene/protein,BSG,NCBI
92,1203,gene/protein,CLN5,NCBI
97,10159,gene/protein,ATP6AP2,NCBI
99,2770,gene/protein,GNAI1,NCBI
100,10484,gene/protein,SEC23A,NCBI
102,7182,gene/protein,NR2C2,NCBI
104,10946,gene/protein,SF3A3,NCBI
106,3169,gene/protein,FOXA1,NCBI
108,1111,gene/protein,CHEK1,NCBI
109,7014,gene/protein,TERF2,NCBI
111,7276,gene/protein,TTR,NCBI
116,841,gene/protein,CASP8,NCBI
118,358,gene/protein,AQP1,NCBI
119,2113,gene/protein,ETS1,NCBI
121,23404,gene/protein,EXOSC2,NCBI
123,6789,gene/protein,STK4,NCBI
124,51614,gene/protein,ERGIC3,NCBI
125,1956,gene/protein,EGFR,NCBI
127,3662,gene/protein,IRF4,NCBI
130,2623,gene/protein,GATA1,NCBI
131,1053,gene/protein,CEBPE,NCBI
133,1460,gene/protein,CSNK2B,NCBI
134,23013,gene/protein,SPEN,NCBI
138,3303,gene/protein,HSPA1A,NCBI
139,5111,gene/protein,PCNA,NCBI
141,10025,gene/protein,MED16,NCBI
143,5573,gene/protein,PRKAR1A,NCBI
144,4088,gene/protein,SMAD3,NCBI
145,5359,gene/protein,PLSCR1,NCBI
149,205,gene/protein,AK4,NCBI
150,2261,gene/protein,FGFR3,NCBI
151,1490,gene/protein,CCN2,NCBI
152,2885,gene/protein,GRB2,NCBI
154,2332,gene/protein,FMR1,NCBI
155,1107,gene/protein,CHD3,NCBI
161,7514,gene/protein,XPO1,NCBI
163,4000,gene/protein,LMNA,NCBI
164,7329,gene/protein,UBE2I,NCBI
165,64881,gene/protein,PCDH20,NCBI
168,1871,gene/protein,E2F3,NCBI
169,5080,gene/protein,PAX6,NCBI
172,4879,gene/protein,NPPB,NCBI
174,6688,gene/protein,SPI1,NCBI
176,5467,gene/protein,PPARD,NCBI
177,5728,gene/protein,PTEN,NCBI
178,2033,gene/protein,EP300,NCBI
179,3588,gene/protein,IL10RB,NCBI
180,57175,gene/protein,CORO1B,NCBI
